2025-10-27 22:34:38 [LogHelper] Upload all log and delete
2025-10-27 22:36:16 [DBDOWNLOAD] Đã xóa DB cũ
2025-10-27 22:38:11 [DBDOWNLOAD] Đã xóa DB cũ
2025-10-27 22:38:54 [DBDOWNLOAD] Đã xóa DB cũ
2025-10-27 22:39:18 [LogHelper] Upload all log and delete
2025-10-27 22:42:06 [Map] Hoàn tất tải (r=50km)
2025-10-28 10:47:40 [LogHelper] Upload all log and delete
2025-10-28 10:47:54 [MusicDownloader] 🎧 Đang tải file 1/466: 0%
2025-10-28 10:47:54 [MusicDownloader] 🎧 Đang tải file 1/466: 5%
2025-10-28 10:47:54 [MusicDownloader] 🎧 Đang tải file 1/466: 10%
2025-10-28 10:47:55 [MusicDownloader] 🎧 Đang tải file 1/466: 15%
2025-10-28 10:47:55 [MusicDownloader] 🎧 Đang tải file 1/466: 20%
2025-10-28 10:47:55 [MusicDownloader] 🎧 Đang tải file 1/466: 25%
2025-10-28 10:47:55 [MusicDownloader] 🎧 Đang tải file 1/466: 30%
2025-10-28 10:47:56 [MusicDownloader] 🎧 Đang tải file 1/466: 35%
2025-10-28 10:47:56 [MusicDownloader] 🎧 Đang tải file 1/466: 40%
2025-10-28 10:47:56 [MusicDownloader] 🎧 Đang tải file 1/466: 45%
2025-10-28 10:47:56 [MusicDownloader] 🎧 Đang tải file 1/466: 50%
2025-10-28 10:47:57 [MusicDownloader] 🎧 Đang tải file 1/466: 55%
2025-10-28 10:47:57 [MusicDownloader] 🎧 Đang tải file 1/466: 60%
2025-10-28 10:47:57 [MusicDownloader] 🎧 Đang tải file 1/466: 65%
2025-10-28 10:47:57 [MusicDownloader] 🎧 Đang tải file 1/466: 70%
2025-10-28 10:47:58 [MusicDownloader] 🎧 Đang tải file 1/466: 75%
2025-10-28 10:47:58 [MusicDownloader] 🎧 Đang tải file 1/466: 80%
2025-10-28 10:47:58 [MusicDownloader] 🎧 Đang tải file 1/466: 85%
2025-10-28 10:47:58 [MusicDownloader] 🎧 Đang tải file 1/466: 90%
2025-10-28 10:47:58 [MusicDownloader] 🎧 Đang tải file 1/466: 95%
2025-10-28 10:47:59 [MusicDownloader] 🎧 Đang tải file 1/466: 100%
2025-10-28 10:47:59 [MusicDownloader] ⬇️ Đã tải xong: Qua_Phu_Tuong.mp3
2025-10-28 10:47:59 [MusicDownloader] 🎧 Đang tải file 2/466: 0%
2025-10-28 10:48:00 [MusicDownloader] 🎧 Đang tải file 2/466: 5%
2025-10-28 10:48:00 [MusicDownloader] 🎧 Đang tải file 2/466: 10%
2025-10-28 10:48:00 [MusicDownloader] 🎧 Đang tải file 2/466: 15%
2025-10-28 10:48:00 [MusicDownloader] 🎧 Đang tải file 2/466: 20%
2025-10-28 10:48:01 [MusicDownloader] 🎧 Đang tải file 2/466: 25%
2025-10-28 10:48:01 [MusicDownloader] 🎧 Đang tải file 2/466: 30%
2025-10-28 10:48:01 [MusicDownloader] 🎧 Đang tải file 2/466: 35%
2025-10-28 10:48:01 [MusicDownloader] 🎧 Đang tải file 2/466: 40%
2025-10-28 10:48:01 [MusicDownloader] 🎧 Đang tải file 2/466: 45%
2025-10-28 10:48:02 [MusicDownloader] 🎧 Đang tải file 2/466: 50%
2025-10-28 10:48:02 [MusicDownloader] 🎧 Đang tải file 2/466: 55%
2025-10-28 10:48:02 [MusicDownloader] 🎧 Đang tải file 2/466: 60%
2025-10-28 10:48:02 [MusicDownloader] 🎧 Đang tải file 2/466: 65%
2025-10-28 10:48:03 [MusicDownloader] 🎧 Đang tải file 2/466: 70%
2025-10-28 10:48:03 [MusicDownloader] 🎧 Đang tải file 2/466: 75%
2025-10-28 10:48:03 [MusicDownloader] 🎧 Đang tải file 2/466: 80%
2025-10-28 10:48:03 [MusicDownloader] 🎧 Đang tải file 2/466: 85%
2025-10-28 10:48:04 [MusicDownloader] 🎧 Đang tải file 2/466: 90%
2025-10-28 10:48:04 [MusicDownloader] 🎧 Đang tải file 2/466: 95%
2025-10-28 10:48:04 [MusicDownloader] 🎧 Đang tải file 2/466: 100%
2025-10-28 10:48:04 [MusicDownloader] ⬇️ Đã tải xong: _Co_Be_Mua_ong.mp3
2025-10-28 10:48:05 [MusicDownloader] 🎧 Đang tải file 3/466: 0%
2025-10-28 10:48:05 [MusicDownloader] 🎧 Đang tải file 3/466: 5%
2025-10-28 10:48:05 [MusicDownloader] 🎧 Đang tải file 3/466: 10%
2025-10-28 10:48:05 [MusicDownloader] 🎧 Đang tải file 3/466: 15%
2025-10-28 10:48:06 [MusicDownloader] 🎧 Đang tải file 3/466: 20%
2025-10-28 10:48:06 [MusicDownloader] 🎧 Đang tải file 3/466: 25%
2025-10-28 10:48:06 [MusicDownloader] 🎧 Đang tải file 3/466: 30%
2025-10-28 10:48:06 [MusicDownloader] 🎧 Đang tải file 3/466: 35%
2025-10-28 10:48:07 [MusicDownloader] 🎧 Đang tải file 3/466: 40%
2025-10-28 10:48:07 [MusicDownloader] 🎧 Đang tải file 3/466: 45%
2025-10-28 10:48:07 [MusicDownloader] 🎧 Đang tải file 3/466: 50%
2025-10-28 10:48:07 [MusicDownloader] 🎧 Đang tải file 3/466: 55%
2025-10-28 10:48:07 [MusicDownloader] 🎧 Đang tải file 3/466: 60%
2025-10-28 10:48:08 [MusicDownloader] 🎧 Đang tải file 3/466: 65%
2025-10-28 10:48:08 [MusicDownloader] 🎧 Đang tải file 3/466: 70%
2025-10-28 10:48:08 [MusicDownloader] 🎧 Đang tải file 3/466: 75%
2025-10-28 10:48:08 [MusicDownloader] 🎧 Đang tải file 3/466: 80%
2025-10-28 10:48:08 [MusicDownloader] 🎧 Đang tải file 3/466: 85%
2025-10-28 10:48:09 [MusicDownloader] 🎧 Đang tải file 3/466: 90%
2025-10-28 10:48:09 [MusicDownloader] 🎧 Đang tải file 3/466: 95%
2025-10-28 10:48:09 [MusicDownloader] 🎧 Đang tải file 3/466: 100%
2025-10-28 10:48:09 [MusicDownloader] ⬇️ Đã tải xong: _Xin_Hay_Thu_Tha_Feat._Suboi.mp3
2025-10-28 10:48:10 [MusicDownloader] 🎧 Đang tải file 4/466: 0%
2025-10-28 10:48:10 [MusicDownloader] 🎧 Đang tải file 4/466: 5%
2025-10-28 10:48:10 [MusicDownloader] 🎧 Đang tải file 4/466: 10%
2025-10-28 10:48:11 [MusicDownloader] 🎧 Đang tải file 4/466: 15%
2025-10-28 10:48:11 [MusicDownloader] 🎧 Đang tải file 4/466: 20%
2025-10-28 10:48:11 [MusicDownloader] 🎧 Đang tải file 4/466: 25%
2025-10-28 10:48:11 [MusicDownloader] 🎧 Đang tải file 4/466: 30%
2025-10-28 10:48:12 [MusicDownloader] 🎧 Đang tải file 4/466: 35%
2025-10-28 10:48:12 [MusicDownloader] 🎧 Đang tải file 4/466: 40%
2025-10-28 10:48:12 [MusicDownloader] 🎧 Đang tải file 4/466: 45%
2025-10-28 10:48:12 [MusicDownloader] 🎧 Đang tải file 4/466: 50%
2025-10-28 10:48:13 [MusicDownloader] 🎧 Đang tải file 4/466: 55%
2025-10-28 10:48:13 [MusicDownloader] 🎧 Đang tải file 4/466: 60%
2025-10-28 10:48:13 [MusicDownloader] 🎧 Đang tải file 4/466: 65%
2025-10-28 10:48:14 [MusicDownloader] 🎧 Đang tải file 4/466: 70%
2025-10-28 10:48:14 [MusicDownloader] 🎧 Đang tải file 4/466: 75%
2025-10-28 10:48:14 [MusicDownloader] 🎧 Đang tải file 4/466: 80%
2025-10-28 10:48:15 [MusicDownloader] 🎧 Đang tải file 4/466: 85%
2025-10-28 10:48:15 [MusicDownloader] 🎧 Đang tải file 4/466: 90%
2025-10-28 10:48:15 [MusicDownloader] 🎧 Đang tải file 4/466: 95%
2025-10-28 10:48:16 [MusicDownloader] 🎧 Đang tải file 4/466: 100%
2025-10-28 10:48:16 [MusicDownloader] ⬇️ Đã tải xong: _Ngoi_Nha_Hoa_Hong.mp3
2025-10-28 10:48:16 [MusicDownloader] 🎧 Đang tải file 5/466: 0%
2025-10-28 10:48:17 [MusicDownloader] 🎧 Đang tải file 5/466: 5%
2025-10-28 10:48:17 [MusicDownloader] 🎧 Đang tải file 5/466: 10%
2025-10-28 10:48:17 [MusicDownloader] 🎧 Đang tải file 5/466: 15%
2025-10-28 10:48:17 [MusicDownloader] 🎧 Đang tải file 5/466: 20%
2025-10-28 10:48:18 [MusicDownloader] 🎧 Đang tải file 5/466: 25%
2025-10-28 10:48:18 [MusicDownloader] 🎧 Đang tải file 5/466: 30%
2025-10-28 10:48:18 [MusicDownloader] 🎧 Đang tải file 5/466: 35%
2025-10-28 10:48:19 [MusicDownloader] 🎧 Đang tải file 5/466: 40%
2025-10-28 10:48:19 [MusicDownloader] 🎧 Đang tải file 5/466: 45%
2025-10-28 10:48:20 [MusicDownloader] 🎧 Đang tải file 5/466: 50%
2025-10-28 10:48:21 [MusicDownloader] 🎧 Đang tải file 5/466: 55%
2025-10-28 10:48:22 [MusicDownloader] 🎧 Đang tải file 5/466: 60%
2025-10-28 10:48:22 [MusicDownloader] 🎧 Đang tải file 5/466: 65%
2025-10-28 10:48:23 [MusicDownloader] 🎧 Đang tải file 5/466: 70%
2025-10-28 10:48:24 [MusicDownloader] 🎧 Đang tải file 5/466: 75%
2025-10-28 10:48:24 [MusicDownloader] 🎧 Đang tải file 5/466: 80%
2025-10-28 10:48:25 [MusicDownloader] 🎧 Đang tải file 5/466: 85%
2025-10-28 10:48:25 [MusicDownloader] 🎧 Đang tải file 5/466: 90%
2025-10-28 10:48:25 [MusicDownloader] 🎧 Đang tải file 5/466: 95%
2025-10-28 10:48:26 [MusicDownloader] 🎧 Đang tải file 5/466: 100%
2025-10-28 10:48:26 [MusicDownloader] ⬇️ Đã tải xong: _Khi_Co_on_Em_Nho_Ai_Lofi_-_From_Chill_With_Vicky_Nhung_-_Season_2_Memory.mp3
2025-10-28 10:48:26 [MusicDownloader] 🎧 Đang tải file 6/466: 0%
2025-10-28 10:48:26 [MusicDownloader] 🎧 Đang tải file 6/466: 5%
2025-10-28 10:48:27 [MusicDownloader] 🎧 Đang tải file 6/466: 10%
2025-10-28 10:48:27 [MusicDownloader] 🎧 Đang tải file 6/466: 15%
2025-10-28 10:48:27 [MusicDownloader] 🎧 Đang tải file 6/466: 20%
2025-10-28 10:48:27 [MusicDownloader] 🎧 Đang tải file 6/466: 25%
2025-10-28 10:48:28 [MusicDownloader] 🎧 Đang tải file 6/466: 30%
2025-10-28 10:48:28 [MusicDownloader] 🎧 Đang tải file 6/466: 35%
2025-10-28 10:48:28 [MusicDownloader] 🎧 Đang tải file 6/466: 40%
2025-10-28 10:48:29 [MusicDownloader] 🎧 Đang tải file 6/466: 45%
2025-10-28 10:48:29 [MusicDownloader] 🎧 Đang tải file 6/466: 50%
2025-10-28 10:48:30 [MusicDownloader] 🎧 Đang tải file 6/466: 55%
2025-10-28 10:48:30 [MusicDownloader] 🎧 Đang tải file 6/466: 60%
2025-10-28 10:48:30 [MusicDownloader] 🎧 Đang tải file 6/466: 65%
2025-10-28 10:48:30 [MusicDownloader] 🎧 Đang tải file 6/466: 70%
2025-10-28 10:48:30 [MusicDownloader] 🎧 Đang tải file 6/466: 75%
2025-10-28 10:48:31 [MusicDownloader] 🎧 Đang tải file 6/466: 80%
2025-10-28 10:48:31 [MusicDownloader] 🎧 Đang tải file 6/466: 85%
2025-10-28 10:48:31 [MusicDownloader] 🎧 Đang tải file 6/466: 90%
2025-10-28 10:48:31 [MusicDownloader] 🎧 Đang tải file 6/466: 95%
2025-10-28 10:48:32 [MusicDownloader] 🎧 Đang tải file 6/466: 100%
2025-10-28 10:48:32 [MusicDownloader] ⬇️ Đã tải xong: _Not_A_Single_Day.mp3
2025-10-28 10:48:32 [MusicDownloader] 🎧 Đang tải file 7/466: 0%
2025-10-28 10:48:33 [MusicDownloader] 🎧 Đang tải file 7/466: 5%
2025-10-28 10:48:33 [MusicDownloader] 🎧 Đang tải file 7/466: 10%
2025-10-28 10:48:34 [MusicDownloader] 🎧 Đang tải file 7/466: 15%
2025-10-28 10:48:34 [MusicDownloader] 🎧 Đang tải file 7/466: 20%
2025-10-28 10:48:35 [MusicDownloader] 🎧 Đang tải file 7/466: 25%
2025-10-28 10:48:35 [MusicDownloader] 🎧 Đang tải file 7/466: 30%
2025-10-28 10:48:35 [MusicDownloader] 🎧 Đang tải file 7/466: 35%
2025-10-28 10:48:35 [MusicDownloader] 🎧 Đang tải file 7/466: 40%
2025-10-28 10:48:35 [MusicDownloader] 🎧 Đang tải file 7/466: 45%
2025-10-28 10:48:36 [MusicDownloader] 🎧 Đang tải file 7/466: 50%
2025-10-28 10:48:36 [MusicDownloader] 🎧 Đang tải file 7/466: 55%
2025-10-28 10:48:36 [MusicDownloader] 🎧 Đang tải file 7/466: 60%
2025-10-28 10:48:36 [MusicDownloader] 🎧 Đang tải file 7/466: 65%
2025-10-28 10:48:37 [MusicDownloader] 🎧 Đang tải file 7/466: 70%
2025-10-28 10:48:37 [MusicDownloader] 🎧 Đang tải file 7/466: 75%
2025-10-28 10:48:37 [MusicDownloader] 🎧 Đang tải file 7/466: 80%
2025-10-28 10:48:38 [MusicDownloader] 🎧 Đang tải file 7/466: 85%
2025-10-28 10:48:38 [MusicDownloader] 🎧 Đang tải file 7/466: 90%
2025-10-28 10:48:38 [MusicDownloader] 🎧 Đang tải file 7/466: 95%
2025-10-28 10:48:39 [MusicDownloader] 🎧 Đang tải file 7/466: 100%
2025-10-28 10:48:39 [MusicDownloader] ⬇️ Đã tải xong: _She_Neva_Knows.mp3
