2026-01-17 14:53:45 [LogHelper] Upload all log and delete
2026-01-17 14:54:31 [LogHelper] Upload all log and delete
2026-01-17 14:56:55 [LogHelper] Upload all log and delete
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 0%
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 5%
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 10%
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 15%
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 20%
2026-01-17 15:00:39 [MusicDownloader] 🎧 Đang tải file 1/618: 25%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 30%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 35%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 40%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 45%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 50%
2026-01-17 15:00:40 [MusicDownloader] 🎧 Đang tải file 1/618: 55%
2026-01-17 15:00:41 [MusicDownloader] 🎧 Đang tải file 1/618: 60%
2026-01-17 15:00:41 [MusicDownloader] 🎧 Đang tải file 1/618: 65%
2026-01-17 15:00:41 [MusicDownloader] 🎧 Đang tải file 1/618: 70%
2026-01-17 15:00:41 [MusicDownloader] 🎧 Đang tải file 1/618: 75%
2026-01-17 15:00:41 [MusicDownloader] 🎧 Đang tải file 1/618: 80%
2026-01-17 15:00:42 [MusicDownloader] 🎧 Đang tải file 1/618: 85%
2026-01-17 15:00:42 [MusicDownloader] 🎧 Đang tải file 1/618: 90%
2026-01-17 15:00:42 [MusicDownloader] 🎧 Đang tải file 1/618: 95%
2026-01-17 15:00:42 [MusicDownloader] 🎧 Đang tải file 1/618: 100%
2026-01-17 15:00:42 [MusicDownloader] ⬇️ Đã tải xong: Le_uong.mp3
2026-01-17 15:00:43 [MusicDownloader] 🎧 Đang tải file 2/618: 0%
2026-01-17 15:00:43 [MusicDownloader] 🎧 Đang tải file 2/618: 5%
2026-01-17 15:00:44 [MusicDownloader] 🎧 Đang tải file 2/618: 10%
2026-01-17 15:00:44 [MusicDownloader] 🎧 Đang tải file 2/618: 15%
2026-01-17 15:00:44 [MusicDownloader] 🎧 Đang tải file 2/618: 20%
2026-01-17 15:00:44 [MusicDownloader] 🎧 Đang tải file 2/618: 25%
