2026-01-17 15:28:50 [LogHelper] Upload all log and delete
2026-01-17 15:30:59 [MusicDownloader] 🎧 Đang tải file 1/618: 0%
2026-01-17 15:31:00 [MusicDownloader] 🎧 Đang tải file 1/618: 5%
2026-01-17 15:31:01 [MusicDownloader] 🎧 Đang tải file 1/618: 10%
2026-01-17 15:31:01 [MusicDownloader] 🎧 Đang tải file 1/618: 15%
2026-01-17 15:31:01 [MusicDownloader] 🎧 Đang tải file 1/618: 20%
2026-01-17 15:31:02 [MusicDownloader] 🎧 Đang tải file 1/618: 25%
2026-01-17 15:31:02 [MusicDownloader] 🎧 Đang tải file 1/618: 30%
2026-01-17 15:31:02 [MusicDownloader] 🎧 Đang tải file 1/618: 35%
2026-01-17 15:31:02 [MusicDownloader] 🎧 Đang tải file 1/618: 40%
2026-01-17 15:31:02 [MusicDownloader] 🎧 Đang tải file 1/618: 45%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 50%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 55%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 60%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 65%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 70%
2026-01-17 15:31:03 [MusicDownloader] 🎧 Đang tải file 1/618: 75%
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 1/618: 80%
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 1/618: 85%
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 1/618: 90%
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 1/618: 95%
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 1/618: 100%
2026-01-17 15:31:04 [MusicDownloader] ⬇️ Đã tải xong: Le_uong.mp3
2026-01-17 15:31:04 [MusicDownloader] 🎧 Đang tải file 2/618: 0%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 5%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 10%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 15%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 20%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 25%
2026-01-17 15:31:05 [MusicDownloader] 🎧 Đang tải file 2/618: 30%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 35%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 40%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 45%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 50%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 55%
2026-01-17 15:31:06 [MusicDownloader] 🎧 Đang tải file 2/618: 60%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 65%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 70%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 75%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 80%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 85%
2026-01-17 15:31:07 [MusicDownloader] 🎧 Đang tải file 2/618: 90%
2026-01-17 15:31:08 [MusicDownloader] 🎧 Đang tải file 2/618: 95%
2026-01-17 15:31:08 [MusicDownloader] 🎧 Đang tải file 2/618: 100%
2026-01-17 15:31:08 [MusicDownloader] ⬇️ Đã tải xong: Tinh_Yeu_Buong_Tha_Cho_Chung_Ta.mp3
2026-01-17 15:31:08 [MusicDownloader] 🎧 Đang tải file 3/618: 0%
2026-01-17 15:31:08 [MusicDownloader] 🎧 Đang tải file 3/618: 5%
2026-01-17 15:31:08 [MusicDownloader] 🎧 Đang tải file 3/618: 10%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 15%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 20%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 25%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 30%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 35%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 40%
2026-01-17 15:31:09 [MusicDownloader] 🎧 Đang tải file 3/618: 45%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 50%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 55%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 60%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 65%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 70%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 75%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 80%
2026-01-17 15:31:10 [MusicDownloader] 🎧 Đang tải file 3/618: 85%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 3/618: 90%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 3/618: 95%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 3/618: 100%
2026-01-17 15:31:11 [MusicDownloader] ⬇️ Đã tải xong: Anh_a_Cho_Rat_Lau.mp3
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 4/618: 0%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 4/618: 5%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 4/618: 10%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 4/618: 15%
2026-01-17 15:31:11 [MusicDownloader] 🎧 Đang tải file 4/618: 20%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 25%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 30%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 35%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 40%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 45%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 50%
2026-01-17 15:31:12 [MusicDownloader] 🎧 Đang tải file 4/618: 55%
2026-01-17 15:31:13 [MusicDownloader] 🎧 Đang tải file 4/618: 60%
2026-01-17 15:31:13 [MusicDownloader] 🎧 Đang tải file 4/618: 65%
2026-01-17 15:31:13 [MusicDownloader] 🎧 Đang tải file 4/618: 70%
2026-01-17 15:31:13 [MusicDownloader] 🎧 Đang tải file 4/618: 75%
2026-01-17 15:31:13 [MusicDownloader] 🎧 Đang tải file 4/618: 80%
2026-01-17 15:31:14 [MusicDownloader] 🎧 Đang tải file 4/618: 85%
2026-01-17 15:31:14 [MusicDownloader] 🎧 Đang tải file 4/618: 90%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 4/618: 95%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 4/618: 100%
2026-01-17 15:31:15 [MusicDownloader] ⬇️ Đã tải xong: Bac_Bling_Bac_Ninh_Prod._by_Masew.mp3
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 0%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 5%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 10%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 15%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 20%
2026-01-17 15:31:15 [MusicDownloader] 🎧 Đang tải file 5/618: 25%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 30%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 35%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 40%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 45%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 50%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 55%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 60%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 65%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 70%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 75%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 80%
2026-01-17 15:31:16 [MusicDownloader] 🎧 Đang tải file 5/618: 85%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 5/618: 90%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 5/618: 95%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 5/618: 100%
2026-01-17 15:31:17 [MusicDownloader] ⬇️ Đã tải xong: binh_yen.mp3
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 6/618: 0%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 6/618: 5%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 6/618: 10%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 6/618: 15%
2026-01-17 15:31:17 [MusicDownloader] 🎧 Đang tải file 6/618: 20%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 25%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 30%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 35%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 40%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 45%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 50%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 55%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 60%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 65%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 70%
2026-01-17 15:31:18 [MusicDownloader] 🎧 Đang tải file 6/618: 75%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 6/618: 80%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 6/618: 85%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 6/618: 90%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 6/618: 95%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 6/618: 100%
2026-01-17 15:31:19 [MusicDownloader] ⬇️ Đã tải xong: TRAN_BO_NHO_feat._Duong_Domic.mp3
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 7/618: 0%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 7/618: 5%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 7/618: 10%
2026-01-17 15:31:19 [MusicDownloader] 🎧 Đang tải file 7/618: 15%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 20%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 25%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 30%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 35%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 40%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 45%
2026-01-17 15:31:20 [MusicDownloader] 🎧 Đang tải file 7/618: 50%
